session_id,customer_id,session_duration_minutes,session_date
1,100001,5,2024-04-25
2,100001,39,2024-07-07
3,100001,8,2024-07-07
4,100001,2,2024-04-20
5,100001,6,2024-04-30
6,100001,20,2024-06-11
7,100002,9,2024-03-28
8,100002,5,2024-02-22
9,100002,2,2024-04-23
10,100002,27,2024-04-30
11,100002,20,2024-03-26
12,100002,2,2024-05-11
13,100002,6,2024-04-08
14,100002,35,2024-04-11
15,100003,33,2024-04-22
16,100003,8,2024-06-29
17,100003,10,2024-04-29
18,100003,16,2024-05-05
19,100003,1,2024-04-11
20,100003,15,2024-04-25
21,100003,30,2024-06-30
22,100004,2,2024-01-23
23,100004,1,2024-04-07
24,100004,31,2024-03-15
25,100004,11,2024-02-25
26,100004,20,2024-04-10
27,100004,13,2024-03-29
28,100005,8,2024-07-10
29,100005,4,2024-06-19
30,100005,5,2024-05-05
31,100005,14,2024-07-06
32,100005,10,2024-06-25
33,100005,119,2024-06-14
34,100006,1,2024-04-29
35,100006,25,2024-03-27
36,100007,20,2024-05-15
37,100007,16,2024-04-12
38,100007,1,2024-05-13
39,100007,30,2024-03-22
40,100007,24,2024-03-30
41,100008,5,2024-03-23
42,100008,22,2024-03-21
43,100008,7,2024-02-12
44,100008,12,2024-03-31
45,100009,14,2024-06-18
46,100009,6,2024-04-17
47,100009,2,2024-05-07
48,100009,5,2024-05-04
49,100009,13,2024-06-06
50,100010,2,2024-05-30
51,100010,18,2024-04-01
52,100010,1,2024-04-17
53,100010,4,2024-05-21
54,100010,12,2024-04-30
55,100011,1,2024-04-10
56,100011,34,2024-04-03
57,100011,23,2024-06-20
58,100011,29,2024-06-07
59,100012,11,2024-05-04
60,100012,15,2024-03-29
61,100012,5,2024-03-20
62,100012,2,2024-05-29
63,100012,26,2024-04-20
64,100012,8,2024-05-18
65,100012,7,2024-05-10
66,100012,17,2024-06-12
67,100013,6,2024-05-23
68,100013,27,2024-06-06
69,100013,50,2024-05-24
70,100013,2,2024-04-02
71,100013,8,2024-05-06
72,100013,11,2024-04-04
73,100013,22,2024-04-28
74,100013,5,2024-05-22
75,100013,2,2024-03-28
76,100013,3,2024-05-15
77,100014,14,2024-06-15
78,100014,24,2024-06-23
79,100014,15,2024-04-01
80,100014,3,2024-04-02
81,100014,9,2024-06-23
82,100014,4,2024-05-28
83,100014,9,2024-06-11
84,100014,4,2024-05-27
85,100015,10,2024-05-10
86,100015,14,2024-04-28
87,100015,1,2024-07-17
88,100015,9,2024-07-12
89,100015,39,2024-05-31
90,100016,4,2024-06-15
91,100016,9,2024-06-07
92,100016,1,2024-04-16
93,100017,17,2024-06-05
94,100017,51,2024-06-27
95,100017,7,2024-06-27
96,100018,12,2024-02-21
97,100018,2,2024-04-17
98,100018,44,2024-04-08
99,100018,8,2024-01-25
100,100018,8,2024-04-07
101,100019,4,2024-01-31
102,100019,44,2024-03-24
103,100019,3,2024-03-26
104,100019,21,2024-02-08
105,100019,6,2024-02-24
106,100019,13,2024-03-21
107,100019,22,2024-03-13
108,100019,32,2024-01-24
109,100019,8,2024-03-04
110,100020,29,2024-01-30
111,100020,7,2024-01-29
112,100020,11,2024-02-06
113,100020,13,2024-03-01
114,100020,38,2024-04-14
115,100020,14,2024-04-12
116,100021,5,2024-03-13
117,100021,49,2024-05-18
118,100021,10,2024-05-11
119,100021,39,2024-03-14
120,100021,41,2024-03-22
121,100021,1,2024-03-03
122,100022,10,2024-03-09
123,100022,28,2024-01-04
124,100022,10,2024-03-21
125,100023,20,2024-04-23
126,100023,2,2024-04-19
127,100023,15,2024-04-11
128,100024,23,2024-06-21
129,100024,3,2024-05-19
130,100024,21,2024-05-05
131,100024,31,2024-05-20
132,100024,9,2024-06-30
133,100024,5,2024-05-10
134,100024,19,2024-05-21
135,100024,2,2024-06-27
136,100024,1,2024-05-09
137,100025,7,2024-03-02
138,100025,7,2024-03-14
139,100025,24,2024-02-13
140,100025,8,2024-03-04
141,100026,9,2024-05-04
142,100026,13,2024-02-10
143,100026,22,2024-03-06
144,100026,24,2024-02-14
145,100026,7,2024-02-21
146,100026,12,2024-04-14
147,100027,5,2024-03-10
148,100027,1,2024-03-26
149,100027,53,2024-02-28
150,100028,16,2024-04-21
151,100028,30,2024-03-14
152,100028,9,2024-05-10
153,100029,16,2024-03-06
154,100029,9,2024-05-15
155,100029,8,2024-03-06
156,100029,6,2024-04-03
157,100029,45,2024-03-03
158,100029,13,2024-03-06
159,100029,9,2024-03-20
160,100029,7,2024-04-25
161,100029,22,2024-05-26
162,100029,2,2024-03-23
163,100030,1,2024-03-05
164,100030,29,2024-02-21
165,100030,3,2024-02-11
166,100031,17,2024-04-10
167,100031,13,2024-03-21
168,100031,1,2024-03-17
